epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.3074,2.07326,2.52805,1.26962,0.00408,0.97727,0.0246,0.01155,1.73636,3.14208,1.09131,0.000655914,0.000655914,0.000655914
2,53.1744,1.90215,1.45579,1.17948,0.76057,0.722,0.77339,0.34671,1.79108,1.66023,1.20734,0.00129348,0.00129348,0.00129348
3,77.6038,1.83821,1.33653,1.16596,0.70225,0.68182,0.74376,0.35504,1.68763,1.62681,1.1126,0.00190172,0.00190172,0.00190172
4,101.449,1.85074,1.23922,1.17873,0.86777,0.84091,0.88722,0.41564,1.59624,1.20895,1.07781,0.001868,0.001868,0.001868
5,125.788,1.76151,1.14414,1.12811,0.85887,0.82985,0.88383,0.46958,1.50325,1.11909,1.0803,0.001824,0.001824,0.001824
6,149.904,1.7539,1.08779,1.14766,0.86697,0.85227,0.88598,0.44396,1.50378,1.04693,1.0508,0.00178,0.00178,0.00178
7,173.677,1.70652,1.05752,1.10905,0.80219,0.64519,0.73658,0.32248,1.96885,1.30422,1.24832,0.001736,0.001736,0.001736
8,197.971,1.6755,1.0272,1.10084,0.93021,0.84091,0.90251,0.54617,1.39062,0.99476,1.00706,0.001692,0.001692,0.001692
9,222.023,1.62506,0.99596,1.08268,0.91171,0.88636,0.92776,0.51759,1.49593,0.91309,1.05052,0.001648,0.001648,0.001648
10,246.201,1.63057,0.96462,1.07963,0.88998,0.91927,0.93619,0.51174,1.51361,0.87249,1.03192,0.001604,0.001604,0.001604
11,270.746,1.56645,0.91409,1.07204,0.95209,0.90327,0.92839,0.55511,1.38528,0.82796,1.00659,0.00156,0.00156,0.00156
12,294.977,1.54026,0.90242,1.07449,0.93847,0.8666,0.94187,0.53977,1.36888,0.82387,1.00149,0.001516,0.001516,0.001516
13,319.128,1.54321,0.8963,1.04694,0.95304,0.92251,0.94682,0.52343,1.46101,0.81055,1.01349,0.001472,0.001472,0.001472
14,342.786,1.5499,0.86374,1.05706,0.88459,0.93182,0.94235,0.55745,1.40216,0.81982,0.99459,0.001428,0.001428,0.001428
15,366.857,1.53324,0.86569,1.04988,0.97279,0.92045,0.9446,0.55448,1.37054,0.78085,1.00145,0.001384,0.001384,0.001384
16,390.843,1.55303,0.85978,1.0468,0.95994,0.92045,0.94313,0.58133,1.29556,0.77761,0.98573,0.00134,0.00134,0.00134
17,414.634,1.48445,0.83852,1.02874,0.94229,0.92783,0.94448,0.52113,1.41911,0.84842,1.01385,0.001296,0.001296,0.001296
18,438.754,1.50577,0.83624,1.02971,0.89992,0.92045,0.93721,0.54009,1.41072,0.82833,1.00088,0.001252,0.001252,0.001252
19,462.79,1.47495,0.80749,1.0286,0.96497,0.93915,0.96354,0.5972,1.29919,0.71775,0.97489,0.001208,0.001208,0.001208
20,486.571,1.47615,0.78617,1.03168,0.92372,0.89773,0.95279,0.56513,1.40217,0.79166,0.98534,0.001164,0.001164,0.001164
21,510.237,1.50667,0.82117,1.04349,0.95025,0.92045,0.95122,0.56144,1.36209,0.76213,0.99609,0.00112,0.00112,0.00112
22,534.325,1.4487,0.77767,1.02462,0.94604,0.93182,0.9552,0.56339,1.39831,0.75014,0.98324,0.001076,0.001076,0.001076
23,558.397,1.4108,0.75617,1.00415,0.95952,0.88636,0.94555,0.58594,1.31971,0.7372,0.966,0.001032,0.001032,0.001032
24,582.081,1.43349,0.76907,1.01967,0.9861,0.92045,0.95689,0.55967,1.39382,0.71924,0.98459,0.000988,0.000988,0.000988
25,605.666,1.40068,0.75661,0.99291,0.98809,0.9425,0.96192,0.60464,1.32882,0.7197,0.97061,0.000944,0.000944,0.000944
26,629.83,1.39858,0.76039,0.99449,0.9849,0.90909,0.94812,0.59244,1.29042,0.70716,0.95546,0.0009,0.0009,0.0009
27,653.566,1.412,0.74272,0.99724,0.91162,0.93182,0.93966,0.58681,1.29859,0.71338,0.95035,0.000856,0.000856,0.000856
28,677.38,1.35737,0.71223,0.97871,0.97642,0.94127,0.94735,0.60878,1.25217,0.65379,0.95248,0.000812,0.000812,0.000812
29,702.758,1.36758,0.7126,0.98391,0.93951,0.95455,0.95261,0.60064,1.36161,0.69465,0.95851,0.000768,0.000768,0.000768
30,727.75,1.38227,0.73611,1.00481,0.96548,0.95336,0.96534,0.60009,1.29679,0.67684,0.9652,0.000724,0.000724,0.000724
31,752.965,1.3611,0.7183,0.98808,0.96505,0.94131,0.96299,0.6013,1.30894,0.68124,0.95912,0.00068,0.00068,0.00068
32,777.123,1.33255,0.69633,0.9928,0.98735,0.93182,0.96396,0.59573,1.33545,0.66277,0.96184,0.000636,0.000636,0.000636
33,801.63,1.34501,0.70491,1.00157,0.95204,0.94318,0.95864,0.61518,1.27707,0.67123,0.95536,0.000592,0.000592,0.000592
34,825.736,1.34793,0.69424,0.98975,0.96157,0.93182,0.96407,0.60368,1.3049,0.67746,0.97777,0.000548,0.000548,0.000548
35,849.884,1.33748,0.72052,1.02174,0.98175,0.94318,0.96601,0.61689,1.29407,0.64622,0.96433,0.000504,0.000504,0.000504
36,873.583,1.2582,0.65085,0.99843,0.97392,0.94318,0.96331,0.60183,1.26473,0.63305,0.95053,0.00046,0.00046,0.00046
37,897.89,1.25379,0.62511,0.97448,0.96866,0.94318,0.96292,0.60643,1.24837,0.63812,0.94444,0.000416,0.000416,0.000416
